Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2024-04-01,1484.7750244140625,1493.9749755859375,1482.5,1492.4749755859375,5013880
2024-04-02,1486.949951171875,1494.0,1475.0,1484.0,8910166
2024-04-03,1471.5999755859375,1484.449951171875,1468.9000244140625,1482.074951171875,7008292
2024-04-04,1462.925048828125,1479.75,1450.0,1479.75,14490272
2024-04-05,1460.0999755859375,1470.800048828125,1456.0,1460.875,7442298
2024-04-08,1485.9749755859375,1490.9749755859375,1461.0,1462.9749755859375,8357118
2024-04-09,1463.6500244140625,1489.800048828125,1462.5,1489.0,7071414
2024-04-10,1479.574951171875,1487.0,1466.3499755859375,1466.3499755859375,9138330
2024-04-12,1467.1500244140625,1486.4749755859375,1463.074951171875,1475.875,15551012
2024-04-15,1464.824951171875,1482.125,1446.324951171875,1461.0,12902062
2024-04-16,1465.75,1471.175048828125,1450.925048828125,1453.3499755859375,9366184
2024-04-18,1464.324951171875,1486.0,1459.3499755859375,1463.5,19005692
2024-04-19,1470.125,1474.0,1443.0250244140625,1456.7750244140625,15741778
2024-04-22,1479.8499755859375,1482.824951171875,1467.800048828125,1472.449951171875,10350362
2024-04-23,1459.324951171875,1493.5,1455.550048828125,1479.0,14605554
2024-04-24,1450.175048828125,1468.550048828125,1449.5,1463.5,10462776
2024-04-25,1459.9749755859375,1467.9749755859375,1441.5,1442.5,15943926
2024-04-26,1452.550048828125,1465.0,1450.0,1463.949951171875,9413848
2024-04-29,1465.0250244140625,1467.9000244140625,1450.0,1450.0,7247974
2024-04-30,1467.0,1483.074951171875,1462.875,1468.0,11474262
2024-05-02,1466.550048828125,1477.324951171875,1464.125,1472.0,14512646
2024-05-03,1434.0,1474.949951171875,1416.1500244140625,1471.0,17226958
2024-05-06,1419.5250244140625,1440.0,1418.0,1435.5,7394208
2024-05-07,1401.4749755859375,1420.75,1392.0,1415.9749755859375,14517472
2024-05-08,1418.550048828125,1432.949951171875,1397.5,1397.5,9439002
2024-05-09,1394.125,1423.75,1390.0,1413.0,11009612
2024-05-10,1407.425048828125,1410.0,1388.074951171875,1396.75,10505096
2024-05-13,1402.699951171875,1406.9749755859375,1384.0,1399.9000244140625,8456620
2024-05-14,1420.074951171875,1427.074951171875,1400.0250244140625,1400.9749755859375,7188300
2024-05-15,1416.2750244140625,1429.9749755859375,1413.0250244140625,1420.5,5046534
2024-05-16,1425.3499755859375,1427.5,1398.0250244140625,1418.550048828125,14711774
2024-05-17,1435.699951171875,1437.199951171875,1413.25,1423.050048828125,10916476
2024-05-21,1436.125,1441.824951171875,1425.5999755859375,1425.5999755859375,11176128
2024-05-22,1460.6500244140625,1468.7750244140625,1436.2750244140625,1436.2750244140625,10281604
2024-05-23,1486.050048828125,1492.2249755859375,1455.0,1458.550048828125,14608260
2024-05-24,1480.25,1488.5,1476.0999755859375,1483.625,7094776
2024-05-27,1466.25,1484.9000244140625,1461.550048828125,1480.2249755859375,6629010
2024-05-28,1456.199951171875,1478.5,1452.75,1468.0,7820162
2024-05-29,1440.7750244140625,1458.0,1438.449951171875,1446.5,7383556
2024-05-30,1424.8499755859375,1440.4000244140625,1420.0999755859375,1435.5,13206858
2024-05-31,1430.4000244140625,1442.25,1422.25,1431.300048828125,31069832
2024-06-03,1510.324951171875,1514.5,1459.0,1483.0,21527942
2024-06-04,1397.2750244140625,1498.050048828125,1359.300048828125,1498.050048828125,36709098
2024-06-05,1420.75,1431.1500244140625,1384.0999755859375,1422.0,17464890
2024-06-06,1431.5999755859375,1443.699951171875,1421.3499755859375,1435.0,17855722
2024-06-07,1469.949951171875,1472.0,1426.5,1428.5,18558696
2024-06-10,1471.4000244140625,1493.3499755859375,1468.074951171875,1469.949951171875,9251760
2024-06-11,1456.675048828125,1473.675048828125,1454.675048828125,1469.0,11774902
2024-06-12,1463.324951171875,1476.0,1455.175048828125,1457.5,10081742
2024-06-13,1465.25,1472.25,1460.0999755859375,1472.0,9181160
2024-06-14,1477.550048828125,1479.675048828125,1457.2249755859375,1470.0,8157998
2024-06-18,1481.0250244140625,1487.4000244140625,1471.3499755859375,1487.3499755859375,7196766
2024-06-19,1458.6500244140625,1487.5,1456.0,1487.5,8725874
2024-06-20,1473.699951171875,1482.8499755859375,1450.0999755859375,1459.0,16113776
2024-06-21,1454.199951171875,1474.699951171875,1440.574951171875,1473.625,31170360
2024-06-24,1441.4749755859375,1449.5,1437.5,1445.5250244140625,8878386
2024-06-25,1454.1500244140625,1455.925048828125,1441.0,1443.0,7045386
2024-06-26,1514.0250244140625,1518.9749755859375,1445.125,1446.050048828125,22014882
2024-06-27,1530.550048828125,1537.5,1506.0,1513.75,28383030
2024-06-28,1565.4000244140625,1581.0,1531.0250244140625,1531.0250244140625,28957336
2024-07-01,1560.1500244140625,1579.4000244140625,1555.675048828125,1562.5250244140625,7724306
2024-07-02,1565.175048828125,1573.5,1557.0,1569.5,7749246
2024-07-03,1552.425048828125,1575.0,1542.7750244140625,1566.324951171875,9049620
2024-07-04,1554.0250244140625,1567.5,1550.800048828125,1557.0,6837176
2024-07-05,1588.625,1598.5,1548.0,1553.824951171875,12269710
2024-07-08,1600.9000244140625,1608.800048828125,1582.5250244140625,1589.0,9500806
2024-07-09,1590.2750244140625,1600.5,1580.5,1597.5999755859375,6960002
2024-07-10,1584.2249755859375,1597.5,1563.1500244140625,1595.0,7134578
2024-07-11,1580.6500244140625,1604.25,1570.5,1587.5,11940946
2024-07-12,1596.7249755859375,1605.1500244140625,1574.5,1584.5,12924784
2024-07-15,1597.2249755859375,1605.8499755859375,1585.5,1604.449951171875,5329688
2024-07-16,1576.25,1600.0,1569.125,1593.5,9386838
2024-07-18,1586.675048828125,1593.9000244140625,1557.824951171875,1576.0,12298374
2024-07-19,1555.1500244140625,1589.9749755859375,1552.800048828125,1586.0,13140390
2024-07-22,1500.675048828125,1537.5,1499.2750244140625,1537.25,19674376
2024-07-23,1487.9000244140625,1505.75,1463.0,1501.0,18052044
2024-07-24,1495.699951171875,1509.5,1476.4000244140625,1485.0,11913362
2024-07-25,1492.4000244140625,1500.4749755859375,1477.074951171875,1481.0,12519876
2024-07-26,1509.0250244140625,1512.425048828125,1490.3499755859375,1492.4000244140625,9859940
2024-07-29,1520.0999755859375,1527.5,1511.7750244140625,1511.949951171875,7538550
2024-07-30,1513.1500244140625,1525.0,1510.0,1517.0250244140625,8228208
2024-07-31,1505.425048828125,1510.449951171875,1501.1500244140625,1504.0,10057346
2024-08-01,1515.300048828125,1518.0,1504.300048828125,1512.0,10764222
2024-08-02,1499.324951171875,1509.324951171875,1493.2750244140625,1505.0,10268248
2024-08-05,1447.324951171875,1483.9000244140625,1433.25,1480.0,17046704
2024-08-06,1456.050048828125,1477.5,1451.324951171875,1455.1500244140625,10236186
2024-08-07,1464.824951171875,1472.5,1461.5,1469.0,8174568
2024-08-08,1449.125,1465.0,1445.925048828125,1457.5250244140625,12387192
2024-08-09,1474.300048828125,1476.5,1456.0,1460.0,6249776
2024-08-12,1460.625,1473.0,1457.75,1470.0,8184584
2024-08-13,1463.625,1470.074951171875,1458.0,1460.75,6265064
2024-08-14,1461.8499755859375,1472.0,1453.699951171875,1463.550048828125,6267466
2024-08-16,1478.199951171875,1480.4000244140625,1458.050048828125,1468.6500244140625,9416902
2024-08-19,1488.4000244140625,1498.300048828125,1480.5,1482.5,13797742
2024-08-20,1495.949951171875,1503.925048828125,1490.0250244140625,1497.2249755859375,8411808
2024-08-21,1498.675048828125,1507.875,1490.0,1493.25,7769996
2024-08-22,1498.125,1506.5,1490.6500244140625,1503.0,10445782
2024-08-23,1499.9749755859375,1511.324951171875,1498.425048828125,1503.75,9249654
2024-08-26,1512.5999755859375,1523.0,1503.0,1506.9749755859375,8816114
2024-08-27,1500.449951171875,1513.4749755859375,1499.449951171875,1510.5,6251156
2024-08-28,1498.300048828125,1507.4749755859375,1493.0,1505.0,9610286
2024-08-29,1520.925048828125,1537.0,1494.0,1503.0999755859375,38335358
2024-08-30,1509.625,1539.7249755859375,1503.324951171875,1534.0,41620730
2024-09-02,1516.25,1526.800048828125,1506.625,1510.875,11240852
2024-09-03,1509.125,1523.0,1507.5,1521.25,10923800
2024-09-04,1514.550048828125,1517.5,1499.5,1500.699951171875,11983304
2024-09-05,1492.9749755859375,1525.7750244140625,1487.050048828125,1519.050048828125,16264168
2024-09-06,1464.824951171875,1497.0,1461.625,1492.5,19394228
2024-09-09,1462.449951171875,1469.925048828125,1455.5999755859375,1466.5,9010298
2024-09-10,1461.5250244140625,1472.050048828125,1457.574951171875,1460.5,10768260
2024-09-11,1451.5,1468.75,1447.550048828125,1463.050048828125,9760202
2024-09-12,1479.800048828125,1486.0,1445.875,1457.0,22349376
2024-09-13,1472.625,1483.1500244140625,1469.5,1476.4000244140625,8711328
2024-09-16,1471.3499755859375,1480.9000244140625,1464.75,1477.550048828125,5481774
2024-09-17,1472.300048828125,1477.4749755859375,1466.625,1474.0,5935328
2024-09-18,1463.449951171875,1482.0,1460.550048828125,1470.0,8574714
2024-09-19,1469.675048828125,1476.5,1455.550048828125,1466.25,16955902
2024-09-20,1485.925048828125,1495.0,1471.375,1474.0,30897320
2024-09-23,1493.375,1501.5,1488.949951171875,1491.0,8832314
2024-09-24,1489.375,1500.5,1487.875,1488.5,17137444
2024-09-25,1493.949951171875,1496.5,1480.199951171875,1483.9000244140625,7069002
2024-09-26,1497.949951171875,1504.0,1488.050048828125,1490.6500244140625,18818998
2024-09-27,1526.175048828125,1533.4749755859375,1492.0,1499.0,20597478
2024-09-30,1476.574951171875,1524.9749755859375,1474.4000244140625,1519.4000244140625,27008814
2024-10-01,1464.824951171875,1487.949951171875,1462.824951171875,1480.6500244140625,16431642
2024-10-03,1406.9749755859375,1449.4000244140625,1402.074951171875,1436.574951171875,37757294
2024-10-04,1386.5250244140625,1417.3499755859375,1381.7750244140625,1403.925048828125,37072876
