Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2024-04-01,1457.8973388671875,1491.5310008640356,1455.3139788743078,1486.705349136043,6580002
2024-04-02,1445.61376953125,1455.655171330443,1443.6639920172302,1447.56354704527,7279400
2024-04-03,1443.468994140625,1457.556088416466,1437.9608491209642,1441.8604039660381,8736248
2024-04-04,1449.3670654296875,1458.0923911957811,1431.1366933009367,1453.1204823429377,11186915
2024-04-05,1441.9578857421875,1449.3670162326734,1438.9845465413525,1442.8841014316051,5072482
2024-04-08,1439.6181640625,1453.5103286973067,1437.083477123109,1445.7600107661935,6610887
2024-04-09,1457.3125,1475.7867141771992,1449.9521609573267,1452.5843131173592,9423230
2024-04-10,1468.96240234375,1471.9357416004173,1447.2711278594095,1462.6742985621595,6744595
2024-04-12,1447.466064453125,1468.9624088870332,1442.3478985407633,1466.232672798451,12275616
2024-04-15,1431.282958984375,1454.4852401048813,1424.3612725787823,1442.8353670070512,8531224
2024-04-16,1378.931396484375,1418.6094414985291,1377.5666473872368,1414.5636292334955,16173541
2024-04-18,1383.61083984375,1408.4217105958376,1372.155897185188,1385.4143602060183,22107945
2024-04-19,1375.811767578125,1391.0200084887108,1344.1278827623312,1350.2209375345992,20603621
2024-04-22,1396.7718505859375,1400.76887064284,1377.5665898951036,1384.2445540030346,5859087
2024-04-23,1406.1795654296875,1410.5177727918183,1397.01558732246,1406.7644748822818,4856174
2024-04-24,1394.8221435546875,1408.0319343299564,1391.215102614899,1408.0319343299564,4268213
2024-04-25,1402.3287353515625,1408.6168394634037,1384.342084739857,1384.342084739857,9089398
2024-04-26,1394.3345947265625,1409.1041826667683,1391.166206379867,1403.5472455480428,8062444
2024-04-29,1398.7216796875,1403.644915637581,1392.3849026058003,1394.042165932869,5055957
2024-04-30,1384.8782958984375,1400.4765162868387,1381.9536295756125,1398.672876850448,6936588
2024-05-02,1378.931396484375,1388.2416319975862,1376.3967094404313,1377.5178553459195,10076354
